product_sold,date,quantity,unit_price,total_price,currency,site,discount_coupon,discount_value,buyer_birth_date,buyer_name,delivery_country,invoice_id
NEW MEGANIUM RG28XX,2024-07-18,2,70.0,140,GBP,Etsy,COUPONdDsow,18.89,1986-02-18,Justin Hunter,UK,93537a5b-b1a8-41a6-a51c-ad49d73e82ce
MEGANIUM RG353M,2024-08-20,4,110.0,440,EUR,AliExpress,COUPONTNAqo,59.64,1976-05-21,Michael Henry,UK,f82e0a80-cd0f-4e4e-aa9e-297c8568f2e2
MEGANIUM RG353M,2024-09-05,3,110.0,330,USD,AliExpress,COUPONQThGH,78.33,2004-01-24,Tracy Mcdonald,Japan,eb3202f5-ca9e-47b5-9920-3483358ae874
NEW MEGANIUM RG28XX,2024-05-24,5,70.0,350,EUR,Etsy,COUPONKphND,71.26,1989-05-17,Julie Wright,UK,08a26107-1bfa-4a71-9207-0517c54cc33b
NEW MEGANIUM RG 40XXV,2024-06-20,1,100.0,100,USD,Etsy,COUPONviMfr,13.41,1993-01-07,Heather Collins,Germany,93662354-82f1-4e96-8e73-715877bee31e
NEW MEGANIUM RG CubeXX,2024-08-12,1,80.0,80,EUR,AliExpress,COUPONLhQlK,6.8,1964-06-08,Danny Calderon,USA,83d31198-36f5-4f90-accd-5d1f741644be
MEGANIUM RG353M,2024-09-20,2,110.0,220,USD,AliExpress,COUPONreeGr,11.46,1972-10-21,Mark Kelly,Australia,19c2f036-92c3-40a5-ac42-de7e171cae61
NEW MEGANIUM RG35XX,2024-06-23,2,90.0,180,EUR,Etsy,COUPONSkbiE,13.67,1980-11-21,Mr. Ricky Mooney,USA,630420b6-f439-4972-83ab-8afbc39c6c42
NEW MEGANIUM RG28XX,2024-07-17,1,70.0,70,GBP,Etsy,COUPONTaQPw,7.64,1974-06-04,Joshua Stuart,France,86ff0c75-9206-477e-974b-501545c761d1
NEW MEGANIUM RG 40XXV,2024-08-09,1,100.0,100,EUR,Etsy,COUPONOdSOS,20.51,1999-01-05,Valerie George,UK,dca57350-73de-4da4-b0fd-e0544f96cf3d
MEGANIUM RG353M,2024-07-16,2,110.0,220,USD,Etsy,COUPONoxZUg,36.49,1971-02-02,Terri Grant,Canada,f5bdb4dc-1bff-4ec6-8787-260c16a0606a
MEGANIUM RG353M,2024-11-10,1,110.0,110,GBP,Shopee,COUPONTLRWt,6.3,1996-05-06,Robert Valentine,Australia,b867bbe5-8491-4431-bdfe-b2ecc76d904d
MEGANIUM RG353M,2024-07-02,4,110.0,440,USD,AliExpress,COUPONywHiK,22.26,2006-05-11,Trevor Carr,Japan,13759701-a456-4569-89b8-2e4a997e6404
NEW MEGANIUM RG35XX,2024-07-06,5,90.0,450,EUR,Etsy,COUPONwJNbx,92.93,2005-11-19,Kathryn Hall,Japan,a242b39d-911a-497d-abb2-3c76bc22d800
